iter	Passed	Remaining
780	3761	1054
781	3762	1048
782	3764	1043
783	3764	1037
784	3765	1031
785	3766	1025
786	3783	1023
787	3784	1018
788	3785	1012
789	3786	1006
790	3787	1000
791	3788	994
792	3790	989
793	3803	986
794	3804	980
795	3805	975
796	3806	969
797	3807	963
798	3807	957
799	3809	952
800	3810	946
801	3811	940
802	3811	935
803	3812	929
804	3813	923
805	3814	918
806	3817	912
807	3818	907
808	3819	901
809	3820	896
810	3821	890
811	3822	884
812	3823	879
813	3824	873
814	3825	868
815	3826	862
816	3827	857
817	3828	851
818	3829	846
819	3830	840
820	3831	835
821	3836	830
822	3838	825
823	3839	819
824	3839	814
825	3840	809
826	3842	803
827	3843	798
828	3844	792
829	3846	787
830	3847	782
831	3848	777
832	3849	771
833	3861	768
834	3862	763
835	3863	757
836	3864	752
837	3865	747
838	3866	741
839	3867	736
840	3868	731
841	3869	726
842	3871	720
843	3872	715
844	3885	712
845	3886	707
846	3887	702
847	3888	697
848	3889	691
849	3891	686
850	3892	681
851	3893	676
852	3894	671
853	3895	666
854	3906	662
855	3907	657
856	3908	652
857	3909	647
858	3910	641
859	3911	636
860	3912	631
861	3913	626
862	3914	621
863	3915	616
864	3916	611
865	3918	606
866	3919	601
867	3931	597
868	3933	592
869	3934	587
870	3936	582
871	3937	577
872	3938	572
873	3939	567
874	3940	562
875	3940	557
876	3941	552
877	3942	547
878	3954	544
879	3955	539
880	3956	534
881	3957	529
882	3958	524
883	3959	519
884	3960	514
885	3961	509
886	3962	504
887	3963	499
888	3964	494
889	3966	490
890	3975	486
891	3976	481
892	3977	476
893	3978	471
894	3979	466
895	3980	462
896	3981	457
897	3982	452
898	3983	447
899	3984	442
900	3985	437
901	3986	433
902	3987	428
903	4004	425
904	4005	420
905	4006	415
906	4007	410
907	4008	406
908	4009	401
909	4010	396
910	4011	391
911	4012	387
912	4013	382
913	4020	378
914	4022	373
915	4023	368
916	4024	364
917	4025	359
918	4026	354
919	4026	350
920	4027	345
921	4028	340
922	4029	336
923	4030	331
924	4031	326
925	4041	322
926	4042	318
927	4043	313
928	4044	309
929	4045	304
930	4046	299
931	4047	295
932	4048	290
933	4049	286
934	4050	281
935	4051	276
936	4052	272
937	4052	267
938	4054	263
939	4059	259
940	4062	254
941	4063	250
942	4064	245
943	4065	241
944	4066	236
945	4067	232
946	4068	227
947	4069	223
948	4073	218
949	4074	214
950	4075	210
951	4076	205
952	4082	201
953	4088	197
954	4090	192
955	4091	188
956	4092	183
957	4093	179
958	4094	175
959	4095	170
960	4096	166
